SN,YEAR,QTR,MONTH,PROJECT_CODE,PROJECT_NAME,ACCOUNT_NAME,PRACTICE_AREA,BU,B_ TYPE,REGION_COUNTRY,ENTITY_INDIA_US,TOTAL_RESOURCES,TOTAL_REVENUE,TOTAL_DIRECT_COST,NET_MARGIN,EBIDTA
352,2022-23,Q2,04/08/25,SS400229,Software Services - PMB IFSC Clearing Gift City Sup Service,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,-14.73,-9.61,-10.39,0.78,1.45
353,2022-23,Q2,04/09/25,SS400250,Software Services - PMB -Trading Test Environment Management,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,15.63,27.63,11.28,16.35,15.64
354,2022-23,Q2,04/10/25,SS400283,Software Service - PMB-PSM & Epsilon,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,29.33,75.21,31.37,43.84,42.52
355,2022-23,Q2,04/11/25,PN399999,Practice Bench – PSG Non PMB,PMB,PSG-Non PMB,Digital,Bench,IND,PMBIT-IND-SA,3.20,,0.00,-4.33,-4.38
356,2022-23,Q2,04/12/25,ST400179,Software Testing-LIB-T&M,LIB,PSG-Non PMB,Digital,Project,IND,PMBIT-IND-SA,93.47,62.16,45.82,16.34,12.14
357,2022-23,Q2,04/13/25,SS400046,Software Services - T&M - PMB - Development,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,108.41,306.99,100.40,206.59,201.71
358,2022-23,Q2,04/14/25,SS400249,Software Services - PMB IFSC Gift City Trading Development,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,62.36,148.45,59.89,88.55,85.75
359,2022-23,Q2,04/15/25,SS400303,Software Service -PMB-Collateral segregation,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,2.00,4.22,2.64,1.59,1.50
360,2022-23,Q2,04/16/25,ST400176,Software Testing - T&M - PMB - BAT,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,5.00,-8.66,3.47,-12.13,-12.36
361,2022-23,Q2,04/17/25,ST400204,Software Testing- PMB -Web Testing,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,8.00,9.34,3.03,6.31,5.95
362,2022-23,Q2,04/18/25,ST400211,Software Testing-PMB -MF Testing,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,2.00,3.21,1.34,1.87,1.78
363,2022-23,Q3,04/19/25,SP100157,Software Products -PMB-Dataswitch Licence,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,,13.71,9.03,4.68,4.68
364,2022-23,Q3,04/20/25,SS300292,Software Service - PMB XBRL -AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.25,3.17,2.56,0.62,0.51
365,2022-23,Q3,04/21/25,SS300295,Software Service - PMB- Contract Generation AMC Support ,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,7.00,8.88,9.74,-0.85,-1.17
366,2022-23,Q3,04/22/25,SS300299,Software Service - PMB-Neaps AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.00,22.00,1.53,20.47,20.38
367,2022-23,Q3,04/23/25,SS300318,Software Service -PMB-STP Support HUB,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.20,2.75,-0.94,3.69,3.59
368,2022-23,Q3,04/24/25,SS300328,Software Service -PMB-XBRL - Misc,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,1.35,4.25,3.84,0.41,0.35
369,2022-23,Q3,04/25/25,SS300330,Software Service -PMB-Solace Onsite Support,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,6.71,13.53,-6.82,-6.82
370,2022-23,Q3,04/26/25,SS400287,Software Service -Contract Generation - Production Support,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,1.90,2.45,1.64,0.82,0.73
371,2022-23,Q3,04/27/25,SS400290,PMB- Solace -Enhanced Support,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,2.00,28.74,24.24,4.50,4.41
372,2022-23,Q3,04/28/25,SS400294,Software Service -PMB-IFSC-Website Dev & Mtns,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,4.00,5.11,3.19,1.92,1.74
373,2022-23,Q3,04/29/25,SS400306,Software Service -PMB-Website,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,23.23,39.81,24.65,15.16,14.11
374,2022-23,Q3,04/30/25,SS400308,Software Service -PMB-Data Scientist (Surveillance) ,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,1.00,5.76,3.87,1.89,1.85
375,2022-23,Q3,05/01/25,SS400312,Software Service -PMB-VGT Load Pumping,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,4.93,4.11,3.91,0.20,-0.02
376,2022-23,Q3,05/02/25,RP100009,RPA - LIB-Automation Licence,LIB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,,,0.00,,
377,2022-23,Q3,05/03/25,RP300009,RPA - Automation (24 Process ) - PMB,PMB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,2.05,7.50,1.76,5.74,5.64
378,2022-23,Q3,05/04/25,RP300013,RPA - Automation -LIB,LIB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,23.62,16.40,14.50,1.90,0.84
379,2022-23,Q3,05/05/25,RP400001,RPA - PMB - Robotic Automation  T&M,PMB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,8.75,6.90,5.41,1.49,1.09
380,2022-23,Q3,05/06/25,RP400011,RPA - LIB -T&M,LIB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,5.00,2.21,2.28,-0.07,-0.30
381,2022-23,Q3,05/07/25,SS300262,Software Service - PMB- Document Management System,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,,0.55,-0.55,-0.55
382,2022-23,Q3,05/08/25,SS300271,Software Service - PMB - PPMS,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,0.42,0.28,0.14,0.14
383,2022-23,Q3,05/09/25,SS300283,Software Services - PMB - Trading Simulator,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,1.15,1.00,0.93,0.07,0.02
384,2022-23,Q3,05/10/25,SS300301,Software Service -PMB Vendor Management System,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,-1.25,0.00,-1.25,-1.25
385,2022-23,Q3,05/11/25,SS300305,Software Service -PMB-DMS-CSR Portal,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,,0.55,-0.55,-0.55
386,2022-23,Q3,05/12/25,SS300308,Software Service-PMB-Volume Generation Tool -AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,2.33,0.00,2.33,2.33
387,2022-23,Q3,05/13/25,SS300314,Software Service -PMB-DMS-AMC-CSR Portal,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,,0.42,-0.42,-0.42
388,2022-23,Q3,05/14/25,SS300332,Software Service-PMB-Volume Gen. Onsite Support,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,1.15,6.35,1.11,5.24,5.19
389,2022-23,Q3,05/15/25,PD499999,Practice Bench –  PMB-Data & Analytics ,PMB,Data & Analytics,Digital,Bench,IND,PMBIT-IND-SA,5.80,,0.00,-7.25,-7.34
390,2022-23,Q3,05/16/25,SS300303,Software Service -PMB -Client & TM Profiling,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,17.25,157.36,25.89,131.48,130.70
391,2022-23,Q3,05/17/25,SS300335,Software Service-PMB-Shareholder Repository Platform,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,-2.71,,-2.93,2.93,3.05
392,2022-23,Q3,05/18/25,SS300339,Software Service-PMB Indices -Website Mtns & Support,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.43,15.47,2.04,13.43,13.32
393,2022-23,Q3,05/19/25,SS400305,Software Service -PMB-SnowFlake Migration,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,15.00,33.33,14.69,18.64,17.96
394,2022-23,Q3,05/20/25,CC400041,Customer Care Services - NOW -PMB-MSM,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,33.26,13.06,13.18,-0.12,-1.61
395,2022-23,Q3,05/21/25,CC400044,Customer Care Services - Regulatory Function  -PMB,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,32.35,17.22,9.38,7.84,6.38
396,2022-23,Q3,05/22/25,CC400048,Customer Care Services - PMB IFSC-Helpdesk Support,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,7.00,5.49,3.23,2.26,1.94
397,2022-23,Q3,05/23/25,IM300052,IMS - PMB - Stratus MMC Services,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,3.44,46.94,49.41,-2.47,-2.62
398,2022-23,Q3,05/24/25,IM300091,IMS- PMB- Co-Location Project,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,44.23,143.54,26.58,116.96,114.97
399,2022-23,Q3,05/25/25,IM300158,IMS - PMB - Stratus T&M,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,3.54,10.46,4.38,6.08,5.92
400,2022-23,Q3,05/26/25,IM300169,IMS-PMB-VMS-AWC Cloud Hosting,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,,-1.32,0.00,-1.32,-1.32
401,2022-23,Q3,05/27/25,IM400212,IMS-PMB-BCP,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,90.15,119.76,59.97,59.79,55.73
402,2022-23,Q3,05/28/25,IM400216,IMS-PMB-Incident Manager,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,2.00,3.31,2.12,1.19,1.10
403,2022-23,Q3,05/29/25,IM400218,IMS-PMB-Project Management (PMO),PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,2.00,2.52,1.65,0.87,0.78
404,2022-23,Q3,05/30/25,IS400003,ISRC - PMB,PMB,ISRC,Digital,Project,IND,PMBIT-IND-SA,,21.44,19.51,1.94,1.94
405,2022-23,Q3,05/31/25,SS300256,Software Service - PMB-Enterprise Applications support,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,32.26,131.79,22.95,108.85,107.40
406,2022-23,Q3,06/01/25,SS300266,Software Service - PMB - CTCL-CRM Support,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,12.00,10.00,10.65,-0.65,-1.19
407,2022-23,Q3,06/02/25,SS400224,Software Services - PMB Infotech Gift City -Support Service,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,73.36,80.72,67.51,13.21,9.91
408,2022-23,Q3,06/03/25,SS400250,Software Services - PMB -Trading Test Environment Management,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,15.00,17.41,11.59,5.83,5.15
409,2022-23,Q3,06/04/25,SS400283,Software Service - PMB-PSM & Epsilon,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,31.39,62.74,33.88,28.86,27.45
410,2022-23,Q3,06/05/25,PN399999,Practice Bench – PSG Non PMB,PMB,PSG-Non PMB,Digital,Bench,IND,PMBIT-IND-SA,4.47,,0.00,-6.49,-6.56
411,2022-23,Q3,06/06/25,ST400179,Software Testing-LIB-T&M,LIB,PSG-Non PMB,Digital,Project,IND,PMBIT-IND-SA,95.52,74.99,46.62,28.37,24.07
412,2022-23,Q3,06/07/25,SS400046,Software Services - T&M - PMB - Development,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,118.75,161.53,116.82,44.71,39.37
413,2022-23,Q3,06/08/25,SS400249,Software Services - PMB IFSC Gift City Trading Development,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,62.00,73.54,60.59,12.95,10.16
414,2022-23,Q3,06/09/25,SS400303,Software Service -PMB-Collateral segregation,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,2.52,2.45,2.54,-0.09,-0.20
415,2022-23,Q3,06/10/25,ST400176,Software Testing - T&M - PMB - BAT,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,5.00,5.31,3.78,1.53,1.31
416,2022-23,Q3,06/11/25,ST400204,Software Testing- PMB -Web Testing,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,6.64,6.44,2.46,3.98,3.68
417,2022-23,Q3,06/12/25,ST400211,Software Testing-PMB -MF Testing,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,2.00,2.45,1.48,0.98,0.89
418,2022-23,Q3,06/13/25,SP100154,Software Products- PMB-Solace Agent for ITRS,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,3.26,3.13,0.13,0.13
419,2022-23,Q3,06/14/25,SP100157,Software Products -PMB-Dataswitch Licence,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,,13.71,9.03,4.68,4.68
420,2022-23,Q3,06/15/25,SS300292,Software Service - PMB XBRL -AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.25,3.17,2.52,0.66,0.56
421,2022-23,Q3,06/16/25,SS300295,Software Service - PMB- Contract Generation AMC Support ,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,7.00,11.71,9.72,1.99,1.68
422,2022-23,Q3,06/17/25,SS300299,Software Service - PMB-Neaps AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,4.00,-22.00,2.31,-24.31,-24.49
423,2022-23,Q3,06/18/25,SS300318,Software Service -PMB-STP Support HUB,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.20,2.75,1.30,1.45,1.35
424,2022-23,Q3,06/19/25,SS300328,Software Service -PMB-XBRL - Misc,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,1.35,31.25,24.06,7.19,7.13
425,2022-23,Q3,06/20/25,SS300330,Software Service -PMB-Solace Onsite Support,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,13.42,5.83,7.60,7.60
426,2022-23,Q3,06/21/25,SS400287,Software Service -Contract Generation - Production Support,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,2.00,3.79,-0.17,3.96,3.87
427,2022-23,Q3,06/22/25,SS400290,PMB- Solace -Enhanced Support,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,2.00,28.74,39.46,-10.72,-10.81
428,2022-23,Q3,06/23/25,SS400294,Software Service -PMB-IFSC-Website Dev & Mtns,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,4.00,8.37,3.98,4.39,4.21
429,2022-23,Q3,06/24/25,SS400306,Software Service -PMB-Website,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,27.85,39.96,44.21,-4.25,-5.50
430,2022-23,Q3,06/25/25,SS400308,Software Service -PMB-Data Scientist (Surveillance) ,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,1.00,6.43,3.87,2.56,2.51
431,2022-23,Q3,06/26/25,SS400312,Software Service -PMB-VGT Load Pumping,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,13.25,39.24,25.86,13.37,12.78
432,2022-23,Q3,06/27/25,RP100001,RPA - PMB - Robotic Automation,PMB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,,26.00,19.67,6.34,6.34
433,2022-23,Q3,06/28/25,RP300009,RPA - Automation (24 Process ) - PMB,PMB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,2.05,,1.83,-1.83,-1.93
434,2022-23,Q3,06/29/25,RP300013,RPA - Automation -LIB,LIB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,22.30,2.69,14.12,-11.43,-12.43
435,2022-23,Q3,06/30/25,RP400001,RPA - PMB - Robotic Automation  T&M,PMB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,7.20,9.44,3.87,5.56,5.24
436,2022-23,Q3,07/01/25,RP400011,RPA - LIB -T&M,LIB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,5.00,2.21,2.29,-0.08,-0.30
437,2022-23,Q3,07/02/25,SS300262,Software Service - PMB- Document Management System,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,,0.55,-0.55,-0.55
438,2022-23,Q3,07/03/25,SS300271,Software Service - PMB - PPMS,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,15.21,3.92,11.28,11.28
439,2022-23,Q3,07/04/25,SS300283,Software Services - PMB - Trading Simulator,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,1.48,1.00,0.98,0.02,-0.04
440,2022-23,Q3,07/05/25,SS300305,Software Service -PMB-DMS-CSR Portal,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,,0.55,-0.55,-0.55
441,2022-23,Q3,07/06/25,SS300308,Software Service-PMB-Volume Generation Tool -AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,2.33,0.00,2.33,2.33
442,2022-23,Q3,07/07/25,SS300314,Software Service -PMB-DMS-AMC-CSR Portal,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,6.00,1.31,4.69,4.69
443,2022-23,Q3,07/08/25,SS300332,Software Service-PMB-Volume Gen. Onsite Support,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,1.25,-30.47,1.11,-31.57,-31.63
444,2022-23,Q3,07/09/25,PD499999,Practice Bench –  PMB-Data & Analytics ,PMB,Data & Analytics,Digital,Bench,IND,PMBIT-IND-SA,3.08,,0.00,-5.87,-5.91
445,2022-23,Q3,07/10/25,SP100152,Software Products- PMB-Client Profiling,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,,42.00,32.00,10.00,10.00
446,2022-23,Q3,07/11/25,SS300303,Software Service -PMB -Client & TM Profiling,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,20.82,32.54,31.65,0.89,-0.05
447,2022-23,Q3,07/12/25,SS300339,Software Service-PMB Indices -Website Mtns & Support,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.83,5.16,1.95,3.21,3.08
448,2022-23,Q3,07/13/25,SS400305,Software Service -PMB-SnowFlake Migration,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,17.00,33.33,16.10,17.23,16.47
449,2022-23,Q3,07/14/25,CC400041,Customer Care Services - NOW -PMB-MSM,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,32.57,13.06,12.77,0.29,-1.17
450,2022-23,Q3,07/15/25,CC400044,Customer Care Services - Regulatory Function  -PMB,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,31.37,17.82,9.08,8.73,7.32
451,2022-23,Q3,07/16/25,CC400048,Customer Care Services - PMB IFSC-Helpdesk Support,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,6.73,6.02,3.33,2.69,2.39
452,2022-23,Q3,07/17/25,IM300052,IMS - PMB - Stratus MMC Services,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,4.34,48.56,47.29,1.27,1.08
453,2022-23,Q3,07/18/25,IM300091,IMS- PMB- Co-Location Project,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,50.74,143.54,30.93,112.61,110.33
454,2022-23,Q3,07/19/25,IM300158,IMS - PMB - Stratus T&M,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,4.46,17.36,7.35,10.01,9.80
455,2022-23,Q3,07/20/25,IM400212,IMS-PMB-BCP,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,93.60,93.42,65.77,27.65,23.44
456,2022-23,Q3,07/21/25,IM400216,IMS-PMB-Incident Manager,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,2.00,5.00,2.09,2.91,2.82
457,2022-23,Q3,07/22/25,IM400218,IMS-PMB-Project Management (PMO),PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,2.00,2.81,1.65,1.17,1.08
458,2022-23,Q3,07/23/25,IS400003,ISRC - PMB,PMB,ISRC,Digital,Project,IND,PMBIT-IND-SA,,,22.02,-22.02,-22.02
459,2022-23,Q3,07/24/25,SS300256,Software Service - PMB-Enterprise Applications support,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,33.47,75.69,24.37,51.32,49.81
460,2022-23,Q3,07/25/25,SS300266,Software Service - PMB - CTCL-CRM Support,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,4.00,10.00,-10.41,20.41,20.23
461,2022-23,Q3,07/26/25,SS400224,Software Services - PMB Infotech Gift City -Support Service,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,68.00,80.72,66.35,14.36,11.30
462,2022-23,Q3,07/27/25,SS400250,Software Services - PMB -Trading Test Environment Management,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,15.86,24.11,11.86,12.25,11.54
463,2022-23,Q3,07/28/25,SS400283,Software Service - PMB-PSM & Epsilon,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,34.03,66.99,34.10,32.89,31.36
464,2022-23,Q3,07/29/25,PN399999,Practice Bench – PSG Non PMB,PMB,PSG-Non PMB,Digital,Bench,IND,PMBIT-IND-SA,3.57,,0.00,-5.40,-5.45
465,2022-23,Q3,07/30/25,ST400179,Software Testing-LIB-T&M,LIB,PSG-Non PMB,Digital,Project,IND,PMBIT-IND-SA,97.00,106.76,49.11,57.65,53.29
466,2022-23,Q3,07/31/25,SS400046,Software Services - T&M - PMB - Development,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,126.86,211.08,121.51,89.57,83.86
467,2022-23,Q3,08/01/25,SS400249,Software Services - PMB IFSC Gift City Trading Development,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,60.67,96.81,60.40,36.41,33.68
468,2022-23,Q3,08/02/25,SS400303,Software Service -PMB-Collateral segregation,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,2.00,4.00,1.76,2.24,2.15
469,2022-23,Q3,08/03/25,ST400176,Software Testing - T&M - PMB - BAT,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,-3.00,-8.33,-7.01,-1.32,-1.19
470,2022-23,Q3,08/04/25,ST400204,Software Testing- PMB -Web Testing,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,6.00,11.40,2.31,9.10,8.83
471,2022-23,Q3,08/05/25,ST400211,Software Testing-PMB -MF Testing,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,2.00,4.28,1.48,2.80,2.71
472,2022-23,Q3,08/06/25,SP100154,Software Products- PMB-Solace Agent for ITRS,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,7.22,7.08,0.14,0.14
473,2022-23,Q3,08/07/25,SP100157,Software Products -PMB-Dataswitch Licence,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,,13.71,9.03,4.68,4.68
474,2022-23,Q3,08/08/25,SS300285,Software Service - PMB - IBM LicePMB ( API -fication),PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,,3.08,-3.08,-3.08
475,2022-23,Q3,08/09/25,SS300292,Software Service - PMB XBRL -AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.25,3.17,2.50,0.68,0.57
476,2022-23,Q3,08/10/25,SS300295,Software Service - PMB- Contract Generation AMC Support ,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,7.00,11.65,9.74,1.91,1.60
477,2022-23,Q3,08/11/25,SS300299,Software Service - PMB-Neaps AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,4.00,,2.27,-2.27,-2.45
478,2022-23,Q3,08/12/25,SS300318,Software Service -PMB-STP Support HUB,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.20,2.75,1.29,1.46,1.36
479,2022-23,Q3,08/13/25,SS300328,Software Service -PMB-XBRL - Misc,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,1.35,26.25,15.86,10.39,10.33
480,2022-23,Q3,08/14/25,SS300330,Software Service -PMB-Solace Onsite Support,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,13.42,14.84,-1.41,-1.41
481,2022-23,Q3,08/15/25,SS400287,Software Service -Contract Generation - Production Support,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,2.00,2.87,1.58,1.28,1.19
482,2022-23,Q3,08/16/25,SS400290,PMB- Solace -Enhanced Support,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,2.00,28.74,22.44,6.30,6.21
483,2022-23,Q3,08/17/25,SS400294,Software Service -PMB-IFSC-Website Dev & Mtns,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,4.58,6.84,4.86,1.99,1.78
484,2022-23,Q3,08/18/25,SS400306,Software Service -PMB-Website,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,28.26,38.33,39.00,-0.66,-1.94
485,2022-23,Q3,08/19/25,SS400308,Software Service -PMB-Data Scientist (Surveillance) ,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,1.00,6.11,3.87,2.25,2.20
486,2022-23,Q3,08/20/25,SS400312,Software Service -PMB-VGT Load Pumping,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,6.30,15.26,7.76,7.51,7.22
487,2022-23,Q3,08/21/25,RP300009,RPA - Automation (24 Process ) - PMB,PMB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,2.05,,1.85,-1.85,-1.94
488,2022-23,Q3,08/22/25,RP300013,RPA - Automation -LIB,LIB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,17.36,5.53,10.50,-4.97,-5.75
489,2022-23,Q3,08/23/25,RP400001,RPA - PMB - Robotic Automation  T&M,PMB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,7.20,6.16,3.52,2.64,2.32
490,2022-23,Q3,08/24/25,RP400011,RPA - LIB -T&M,LIB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,5.00,2.21,2.13,0.08,-0.15
491,2022-23,Q3,08/25/25,SS300262,Software Service - PMB- Document Management System,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,,0.55,-0.55,-0.55
492,2022-23,Q3,08/26/25,SS300271,Software Service - PMB - PPMS,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,19.48,-1.14,20.62,20.62
493,2022-23,Q3,08/27/25,SS300283,Software Services - PMB - Trading Simulator,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.15,7.62,1.46,6.17,6.07
494,2022-23,Q3,08/28/25,SS300305,Software Service -PMB-DMS-CSR Portal,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,,0.55,-0.55,-0.55
495,2022-23,Q3,08/29/25,SS300308,Software Service-PMB-Volume Generation Tool -AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,2.33,0.00,2.33,2.33
496,2022-23,Q3,08/30/25,SS300314,Software Service -PMB-DMS-AMC-CSR Portal,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,1.67,1.47,0.20,0.20
497,2022-23,Q3,08/31/25,SS300332,Software Service-PMB-Volume Gen. Onsite Support,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.15,1.74,1.97,-0.23,-0.33
498,2022-23,Q3,09/01/25,PD499999,Practice Bench –  PMB-Data & Analytics ,PMB,Data & Analytics,Digital,Bench,IND,PMBIT-IND-SA,3.73,,0.00,-6.86,-6.91
499,2022-23,Q3,09/02/25,SS300303,Software Service -PMB -Client & TM Profiling,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,20.53,35.35,30.99,4.36,3.43
500,2022-23,Q3,09/03/25,SS300335,Software Service-PMB-Shareholder Repository Platform,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,3.15,0.00,3.15,3.15
